ชื่อสินค้า,ยี่ห้อ/แบรนด์,รุ่นย่อย,หมวดหมู่,ราคา (THB),จำนวนคงเหลือ,สถานะประกาศ (active|hidden|sold),ลิงก์รูปภาพหลัก,Image 1,Image 2,Image 3,Image 4,Image 5,),รายละเอียดเพิ่มเติม,รับประกัน (วัน),วันที่รับของ (YYYY-MM-DD),อัปเดตล่าสุด (YYYY-MM-DD HH:MM),แท็ก (คั่นด้วย,),SKU,ปุ่มสั่งซื้อให้เด้งไปที่ (facebook|line|custom_url),ลิงก์โพสต์ Facebook (ถ้ามี),ลิงก์ปลายทางปุ่มสั่งซื้อ (ถ้าเลือก custom_url ให้ใส่ที่นี่),ชิป/ซีรีส์ (ถ้าเป็นการ์ดจอให้ใส่เช่น RTX 3060 Ti / RX 6700 XT),สเปกย่อย (VRAM/ขนาด/สี ฯลฯ),สภาพ
การ์ดจอ RTX4060 8GB,MSI,Ventus 2X,การ์ดจอ (GPU),8900,3,active,images/4060.jpg,,,,,,facebook,300,20/1/2025,9/10/2025 12:00,new,SKU-4060,facebook,https://www.facebook.com/justcomth,,RTX 4060,8GB GDDR6,สวยมาก,,
การ์ดจอ RTX3070 8GB,Gigabyte,Eagle,การ์ดจอ (GPU),11900,0,sold,images/3070.jpg,,,,,,facebook,120,18/1/2025,8/10/2025 18:30,,SKU-3070,facebook,https://www.facebook.com/justcomth,,RTX 3070,8GB GDDR6,ใช้งานปกติ,,
แรม KINGSTON 16GB DDR4 RGB,Kingston,Hyper X,แรม (RAM),690,2,active,images/ram11.jpg,,,,,,SKU-RAM16RGB,ตัวเปล่า มีประกัน มีไฟ,,ตัวเปล่า มีประกัน มีไฟ,2025-10-18 08:08:05,,SKU-RAM16RGB,custom_url,,https://www.facebook.com/share/1B8mNcdPZb/?mibextid=wwXIfr,,ใช้งานปกติ,,
พาวเวอร์ซัพพลาย ATOM AE-750W,ATOM,AE-750W,พาวเวอร์ซัพพลาย (PSU),990,3,active,images/psu11.jpg,images/psu12.jpg,images/psu13.jpg,images/psu14.jpg,images/psu15.jpg,,SKU-AE750WB,ครบกล่อง มีประกัน,,ตัวเปล่า มีประกัน มีไฟ,2025-10-18 10:49:41,,SKU-AE750WB,custom_url,,https://www.facebook.com/share/1B8mNcdPZb/?mibextid=wwXIfr,,ใช้งานปกติ,,
wewew,wewe,wewe,wewew,600,3,active,images/IMG_20250818_094244.jpg,images/IMG_20250818_094250.jpg,,,,,,-,7,,2025-10-18 10:51:08,,,1112,,,,,,ใหม่
